,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
1,online,method,mehta,bari,knapsack,algorithm,tree,bhai,conquer,recursion
2,data,algorithm,comedy,hart,problem,youtube,recursive,munna,divide,cse
3,videos,interview,taarak,abdul,dynamic,valve,method,computer,web,channel
4,tutorials,substitution,tarak,gate,programming,complexity,hindi,programming,algorithm,gate
5,structure,daa,episode,algorithms,algorithm,meta,recurrences,coding,technique,net
6,full,dsa,song,np,path,scrapping,video,gate,relation,india
7,syllabus,using,jethalal,algorithm,new,time,solving,development,design,python
8,science,gate,songs,protocol,tv,algorithms,analysis,science,recurrence,ugc
9,free,algorithms,sab,nphard,shortest,control,algorithm,nargish,software,computer
10,humanities,recurrence,zaeden,problems,dijkstra,analysis,complexity,movie,data,th
