,Topic 1,Topic 2,Topic 3,Topic 4,Topic 5,Topic 6,Topic 7,Topic 8,Topic 9,Topic 10
1,tn,method,youtube,youtube,protocol,youtube,youtube,youtube,data,algorithm
2,youtube,example,python,khan,youtube,introduction,dynamic,mehta,youtube,youtube
3,relation,youtube,video,academy,hart,backtracking,programming,महत,hindi,part
4,recurrence,algorithm,scrapper,divide,automation,daa,problem,रक,sets,official
5,algorithm,complexity,tags,conquer,addressable,algorithm,knapsack,th,collapsing,algorithms
6,method,time,extract,geeksforgeeks,remote,force,path,taarak,disjoint,design
7,tree,greedy,india,placement,highway,approach,shortest,ooltah,find,pair
8,recursive,part,awais,smashers,process,brute,using,ka,structure,warshall
9,cn,solving,mirza,gate,transducer,placements,source,episode,union,floyd
10,substitution,recurrences,astley,repair,bari,syllabus,single,chashmah,weighted,introduction
